,artist_id,artist_name,followers,main_genre,subgenre,source
1455,1OVyBGCKn7vObVIVPXcmLa,Otherwise,109194.0,rock,hard rock,LastFM
1456,7GiYUU4EMCOMkpaDD8fzDR,Mike Doughty,38553.0,indie,indie,LastFM
1457,4WoKI3ZPs544x2glFOJRyg,Moon Hooch,139703.0,jazz,jazz,LastFM
1458,2xgkrTjKwyYN3GSsqSY36B,Jay Boogie,1943.0,hip hop,hip hop,LastFM
1459,3DFoVPonoAAt4EZ1FEI8ue,Sir Sly,283303.0,indie,indie,LastFM
1460,4LhV33vJvXmFGSM3m5RzUR,Blake Mills,69681.0,singer-songwriter,singer-songwriter,LastFM
1461,6emHCSoB4tJxTVXakbrpPz,Karen O,193089.0,indie,indie,LastFM
1462,43LxSfgAU06YH9syb0eG7w,Sleepwave,10337.0,rock,post-hardcore,LastFM
1463,4FAEZeJcsYYBkNq2D3KGTV,Three Dog Night,1054583.0,rock,classic rock,LastFM
1464,4UuoJfJ9UybJft7a8E6UHX,Better Than Ezra,449497.0,rock,alternative rock,LastFM
1465,1xVWSPiw5B0OduIC0DSu3V,Delta Spirit,122184.0,indie,indie,LastFM
1466,5xQdu6vJP6leBN2eZTxIci,Heffron Drive,108149.0,pop,pop,LastFM
1467,2DalOaFXdbHCB4cyMJhQtR,Billy Childs,7050.0,jazz,jazz,LastFM
1468,0Sh2X6e3JerGnyEF0vDgbk,Becca Stevens,25225.0,singer-songwriter,folk,LastFM
1469,7If8DXZN7mlGdQkLE2FaMo,The Gaslight Anthem,359457.0,rock,punk,LastFM
1470,0tHPntFCJ48YjmDZ8utweA,Wildchild,3850.0,hip hop,hip hop,LastFM
1471,1PokjXeIq2zVosXbTEaNlx,J Mascis,86651.0,indie,indie rock,LastFM
1472,0LQOvElJ48TNRoHPghgJJo,Justin Furstenfeld,15355.0,indie,indie,LastFM
1473,7Kp7SzuRuNiPFCy7JIwnLx,Ca$h Out,531249.0,hip hop,rap,LastFM
1474,5cMVRrisBpDkXCVG48epED,Jenny Lewis,202658.0,indie,indie,LastFM
1475,0OFcHXvpGaSi5F6L8VPWd3,Jeff Labar,1267.0,blues,hard rock,LastFM
1476,6Xb4ezwoAQC4516kI89nWz,Imogen Heap,964403.0,indie,indie,LastFM
1477,1QMbAyWLXMo2rgG7wCbegU,Skye,1073.0,edm,downtempo,LastFM
1478,0p7L2MImTqtWEAlMN9qHYx,Jay Cosmic,13834.0,edm,electronic,LastFM
1479,1I7aYBMHkUiTQk6HpT4nvE,Chris Arnott,325.0,world,folk,LastFM
1480,5qQTwkRWNaZngwkU1CPmYJ,Syzz,32791.0,edm,electronic,LastFM
1481,7ymrIsmp4vE7vAtcS12J4D,Adam Jensen,192754.0,indie,indie,LastFM
1482,3nUbzTTtP2w4HqvT5y5vkV,The Griswolds,97478.0,indie,indie,LastFM
1483,320TrJub4arztwXRm7kqVO,Dr. John,254299.0,blues,blues,LastFM
1484,5TVL4FXEntBYZb3ujyt6fH,The Blind Boys Of Alabama,57067.0,gospel,gospel,LastFM
1485,2YXGrg4YP1eBA4bLPTP5lq,The McCrary Sisters,1970.0,gospel,gospel,LastFM
1486,6F6lawSnwGWWgdXFN7LXO7,The Dirty Dozen Brass Band,48246.0,jazz,jazz,LastFM
1487,6PrHnMBRb8W0Uw4jMD5d8h,Caleb Johnson,9845.0,rock,alternative rock,LastFM
1488,07slEWguYdak1n3NaAyF9o,Sugar Bear,21.0,hip hop,rap,LastFM
1489,5JsciBJyacfFMq0Ey01kpe,KK,474.0,pop,bollywood,LastFM
1490,3lj7jldByrrpUgW5Je8o1p,Amy Millan,6915.0,singer-songwriter,singer-songwriter,LastFM
1491,0qN4IkrOJAycUyQsdNUZ3w,Breanne Düren,4071.0,pop,pop,LastFM
1492,5NLkpkDVhCW6tTuLxVTYEx,Imaginary Cities,6336.0,indie,indie,LastFM
1493,3WOOglGBDGvr6c2WBeMAWn,Urban Cone,66485.0,indie,indie,LastFM
1494,3luTTVEo8lot6jsdYXdbDN,Jessica Hernandez and the Deltas,12368.0,rock,rock,LastFM
1495,4dv6khcueYOkWzoFRZgtPj,Joel Crouse,7797.0,country,country,LastFM
1496,0id62QV2SZZfvBn9xpmuCl,Aloe Blacc,743968.0,soul,soul,LastFM
1497,2zwHaEmXxX6DTv4i8ajNCM,Kris Allen,162216.0,pop,pop,LastFM
1498,1KMdIxzX1BddGfY2H8aGvn,Lenachka,9957.0,pop,indie pop,LastFM
1499,4sD9znwiVFx9cgRPZ42aQ1,Sinéad O'Connor,1342329.0,singer-songwriter,singer-songwriter,LastFM
1500,7lb6cUo0sKWSGIpmN2PB4P,Tracey Lee,3431.0,hip hop,hip hop,LastFM
1501,6VTJXNmmevnkJNTxh5sHuJ,Pop,1926.0,pop,pop,LastFM
1502,32r72WOqqRO1DtSznId7Lr,James Brown & The Famous Flames,216569.0,soul,soul,LastFM
1503,1qO5T3GsbTFrj12UNVLpco,J.R.,250.0,hip hop,hip hop,LastFM
1504,7nyLigsJ4LWLqVvMrSlQf7,Asher Monroe,23601.0,pop,pop,LastFM
1505,7J2lZBANizgPNfUzux31PV,David Gray,649749.0,singer-songwriter,singer-songwriter,LastFM
1506,1HsZAliZZlaQ9eQTPAGybF,Genevieve,7977.0,metal,black metal,LastFM
1507,2F3zBRfrDfm2FyNT0YKyAx,Sir Michael Rocks,99315.0,hip hop,rap,LastFM
1508,64MoApwh8MFMHUarm13lrv,Chuck Inglish,32184.0,hip hop,rap,LastFM
1509,0eRbECAGCLLiTyVXPBRexU,Jon Batiste,575831.0,jazz,soul,LastFM
1510,2Hjj68yyUPiC0HKEOigcEp,Jesse McCartney,1055473.0,pop,pop,LastFM
1511,3K2zB87GZv1krx031en5VA,La Roux,666343.0,edm,electronic,LastFM
1512,3LTXHU3DhiYzGIgF2PP8Q8,The Raveonettes,159524.0,indie,indie,LastFM
1513,6ejhZKxWJr9apHAzj74DHv,Magic Man,91735.0,indie,electronic,LastFM
1514,5a3WpRDlPqdJvQsH5nH3kS,Dan Farber,9333.0,edm,trap,LastFM
1515,3TPpxkZFkit7EdvceT9hlQ,Yael,1197.0,pop,europop,LastFM
1516,3USGrdyXkg1eLoWJ7KhrhJ,Adi Ulmansky,5755.0,indie,indie,LastFM
1517,2ozLlEZTdSV3pjHgWwZMsi,Chrissie Hynde,34654.0,rock,rock,LastFM
1518,4BxJYbvCLVAO73rMZ6yTKJ,Memorecks,7021.0,hip hop,electronic,LastFM
1519,6fSNDuge2fLINdnCCbpZx6,Omar LinX,51942.0,hip hop,hip hop,LastFM
1520,4gWAItIMhYCdD82T8tvv3T,Lucy Hale,613513.0,pop,pop,LastFM
1521,0ZAPCFYJyRqX63YsDhRAc8,Red Wanting Blue,13133.0,indie,alternative rock,LastFM
1522,6CvoJSlt6a9fTs0XUJNMjj,Karl Hyde,3683.0,pop,electronic,LastFM
1523,7oYtLTPjPRIQo2rG8bfSAW,Abby Dobson,455.0,singer-songwriter,folk,LastFM
1524,5xsSdtWHooM9IL5WnDWTdD,The Range,22426.0,experimental,electronic,LastFM
1525,0JCKtQxpXEfYhZ2b1QDO8N,EVA,773.0,pop,pop,LastFM
1526,4m4SfDVbF5wxrwEjDKgi4k,Cher Lloyd,2619384.0,pop,pop,LastFM
1527,2qelzpB6RrJtn77f5yWmES,Jason Lancaster,12386.0,pop,pop punk,LastFM
1528,7qbQOln6DZHcPm6l94PXU5,Donnie Trumpet,23225.0,hip hop,underground hip hop,LastFM
